fromNode	toNode	weight	direction	fromAltName	toAltName
NONMMUG016070.2	NONMMUG085964.1	0.252540485817831	undirected	NA	NA
NONMMUG016070.2	NONMMUG018446.2	0.262119684564685	undirected	NA	NA
NONMMUG016070.2	NONMMUG018071.2	0.287806884095141	undirected	NA	NA
NONMMUG016070.2	NONMMUG006303.2	0.233256502548441	undirected	NA	NA
NONMMUG016070.2	NONMMUG013067.2	0.23287179135954	undirected	NA	NA
NONMMUG016070.2	NONMMUG021443.2	0.262554190503437	undirected	NA	NA
NONMMUG016070.2	NONMMUG025258.2	0.25915147942239	undirected	NA	NA
NONMMUG016070.2	NONMMUG009428.2	0.285294844421885	undirected	NA	NA
NONMMUG016070.2	NONMMUG002586.2	0.232500460373221	undirected	NA	NA
NONMMUG016070.2	NONMMUG039868.2	0.35399520102343	undirected	NA	NA
NONMMUG016070.2	NONMMUG020777.2	0.282046494503021	undirected	NA	NA
NONMMUG016070.2	NONMMUG022430.2	0.259519455896244	undirected	NA	NA
NONMMUG016070.2	NONMMUG041608.2	0.280156431714558	undirected	NA	NA
NONMMUG016070.2	NONMMUG077589.1	0.314599042789536	undirected	NA	NA
NONMMUG016070.2	NONMMUG062933.1	0.185223123279301	undirected	NA	NA
NONMMUG016070.2	NONMMUG053264.1	0.30407245182315	undirected	NA	NA
NONMMUG016070.2	NONMMUG007952.2	0.302191647194561	undirected	NA	NA
NONMMUG016070.2	NONMMUG034012.2	0.298779151891167	undirected	NA	NA
NONMMUG016070.2	NONMMUG032114.2	0.293199041710547	undirected	NA	NA
NONMMUG016070.2	NONMMUG037817.2	0.204046880942753	undirected	NA	NA
NONMMUG016070.2	NONMMUG007873.2	0.339526446112739	undirected	NA	NA
NONMMUG016070.2	NONMMUG075645.1	0.255920637253227	undirected	NA	NA
NONMMUG016070.2	NONMMUG002075.2	0.288746818865096	undirected	NA	NA
NONMMUG016070.2	NONMMUG040224.2	0.279110965726644	undirected	NA	NA
NONMMUG016070.2	NONMMUG022526.2	0.126508647055819	undirected	NA	NA
NONMMUG016070.2	NONMMUG022606.2	0.319929490302618	undirected	NA	NA
NONMMUG016070.2	NONMMUG003811.2	0.252157761660953	undirected	NA	NA
NONMMUG016070.2	NONMMUG019500.2	0.214811182188275	undirected	NA	NA
NONMMUG016070.2	NONMMUG002971.2	0.260719506892953	undirected	NA	NA
NONMMUG016070.2	NONMMUG032603.2	0.252085236318559	undirected	NA	NA
NONMMUG016070.2	NONMMUG007719.2	0.250503664772203	undirected	NA	NA
NONMMUG016070.2	NONMMUG033115.2	0.345556565533832	undirected	NA	NA
NONMMUG016070.2	NONMMUG001189.2	0.151641980060489	undirected	NA	NA
NONMMUG016070.2	NONMMUG020709.2	0.264581812570515	undirected	NA	NA
NONMMUG016070.2	NONMMUG044440.2	0.143940264200665	undirected	NA	NA
NONMMUG016070.2	NONMMUG003809.2	0.191661207504378	undirected	NA	NA
NONMMUG016070.2	NONMMUG033678.2	0.307096254664568	undirected	NA	NA
NONMMUG016070.2	NONMMUG005166.2	0.206254445092952	undirected	NA	NA
NONMMUG016070.2	NONMMUG033173.2	0.172003018704034	undirected	NA	NA
NONMMUG016070.2	NONMMUG048063.1	0.19112842297525	undirected	NA	NA
NONMMUG016070.2	NONMMUG020778.2	0.289537683041658	undirected	NA	NA
NONMMUG016070.2	NONMMUG015030.2	0.265866696614236	undirected	NA	NA
NONMMUG016070.2	NONMMUG006871.2	0.146476868854212	undirected	NA	NA
NONMMUG016070.2	NONMMUG017982.2	0.206685102694074	undirected	NA	NA
NONMMUG016070.2	NONMMUG084117.1	0.315525062174576	undirected	NA	NA
NONMMUG016070.2	NONMMUG067257.1	0.268762623330753	undirected	NA	NA
NONMMUG016070.2	NONMMUG007718.2	0.265052811271302	undirected	NA	NA
NONMMUG016070.2	NONMMUG019634.2	0.21178298142508	undirected	NA	NA
NONMMUG016070.2	NONMMUG025231.2	0.278063362936639	undirected	NA	NA
NONMMUG016070.2	NONMMUG078994.1	0.230679318724994	undirected	NA	NA
NONMMUG016070.2	NONMMUG034801.2	0.226055476765893	undirected	NA	NA
NONMMUG016070.2	NONMMUG000711.2	0.197064262740008	undirected	NA	NA
NONMMUG016070.2	NONMMUG041474.2	0.184374916388808	undirected	NA	NA
NONMMUG016070.2	1810026J23Rik	0.355965470177238	undirected	NA	NA
NONMMUG016070.2	2610507B11Rik	0.325900476673702	undirected	NA	NA
NONMMUG016070.2	Aars	0.376952311338469	undirected	NA	NA
NONMMUG016070.2	Abcf2	0.235270774923227	undirected	NA	NA
NONMMUG016070.2	Adsl	0.326849405110524	undirected	NA	NA
NONMMUG016070.2	Alyref	0.345177874386089	undirected	NA	NA
NONMMUG016070.2	Aqp11	0.307974093835168	undirected	NA	NA
NONMMUG016070.2	B020004C17Rik	0.231086413236714	undirected	NA	NA
NONMMUG016070.2	BC027231	0.281566069012008	undirected	NA	NA
NONMMUG016070.2	Bag5	0.286394594968059	undirected	NA	NA
NONMMUG016070.2	Bend3	0.324638841873884	undirected	NA	NA
NONMMUG016070.2	Brd8	0.341379847539298	undirected	NA	NA
NONMMUG016070.2	Cand1	0.142865409731102	undirected	NA	NA
NONMMUG016070.2	Ccne1	0.366024540335042	undirected	NA	NA
NONMMUG016070.2	Cdc25c	0.34136308307388	undirected	NA	NA
